"wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na","name","Date","liczba_ozdrowiencow"
"lubuskie",506,5.01,8,2,6,623,10579,1608,597,951,60,"t08",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"łódzkie",1007,4.11,60,24,36,1528,20498,3813,1089,2647,77,"t10",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"małopolskie",951,2.79,86,28,58,1197,21682,4999,1062,3793,144,"t12",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"mazowieckie",1586,2.92,94,11,83,3459,46905,6598,1791,4565,242,"t14",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"opolskie",466,4.75,39,2,37,619,10814,1380,503,841,36,"t16",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"podkarpackie",589,2.77,36,3,33,754,14455,2201,632,1526,43,"t18",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"podlaskie",449,3.82,13,0,13,672,9938,1236,469,756,11,"t20",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"pomorskie",1138,4.85,25,22,3,1705,24216,3486,1215,2124,147,"t22",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"śląskie",1938,4.3,53,4,49,2450,36339,6163,2058,3995,110,"t24",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"świętokrzyskie",301,2.45,19,7,12,438,8485,1289,326,911,52,"t26",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"warmińsko-mazurskie",860,6.05,34,4,30,1363,16321,2348,894,1379,75,"t28",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"wielkopolskie",1418,4.05,66,6,60,2513,38161,4346,1481,2750,115,"t30",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"zachodniopomorskie",1014,5.99,17,2,15,1474,16771,3049,1121,1838,90,"t32",2020-11-24,"20201125060000_rap_rcb_woj_eksport.csv",2020-11-25,NA
"Cały kraj",16846,4.39,580,78,502,21671,345501,57120,18161,37467,1492,"t00",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"dolnośląskie",1117,3.85,51,8,43,1569,27224,4439,1237,3114,88,"t02",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"kujawsko-pomorskie",1213,5.86,24,1,23,1514,21659,4275,1282,2876,117,"t04",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"lubelskie",1027,4.88,30,5,25,1225,18998,3098,1124,1894,80,"t06",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"lubuskie",510,5.05,7,3,4,581,10585,1576,540,994,42,"t08",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"łódzkie",1106,4.52,37,8,29,1309,21008,4195,1208,2909,78,"t10",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"małopolskie",917,2.69,40,14,26,1152,21527,4567,1030,3411,126,"t12",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"mazowieckie",1788,3.29,74,4,70,3222,47183,7510,1993,5232,285,"t14",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"opolskie",587,5.99,23,0,23,571,10787,1530,637,849,44,"t16",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"podkarpackie",752,3.54,69,10,59,651,13468,2435,811,1591,33,"t18",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"podlaskie",467,3.97,24,3,21,613,10151,1223,495,717,11,"t20",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"pomorskie",1112,4.74,32,5,27,1599,24479,3486,1197,2171,118,"t22",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"śląskie",1860,4.13,69,3,66,2325,36562,6239,1988,4101,150,"t24",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"świętokrzyskie",471,3.83,10,0,10,412,8312,1608,491,1025,92,"t26",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"warmińsko-mazurskie",1212,8.53,22,3,19,1304,17505,2871,1273,1512,86,"t28",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"wielkopolskie",1671,4.77,45,8,37,2314,38563,4648,1754,2832,62,"t30",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"zachodniopomorskie",994,5.87,23,3,20,1310,17489,2966,1051,1852,63,"t32",2020-11-25,"20201126060000_rap_rcb_woj_eksport.csv",2020-11-26,NA
"Cały kraj",17059,4.45,579,112,467,20906,345333,63763,18247,43628,1888,"t00",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"dolnośląskie",1319,4.55,65,12,53,1507,26958,4971,1403,3436,132,"t02",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"kujawsko-pomorskie",1366,6.6,30,0,30,1635,22038,4511,1422,2869,220,"t04",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"lubelskie",801,3.81,37,11,26,1111,19142,2898,870,1977,51,"t06",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"lubuskie",494,4.89,27,6,21,546,10264,1568,535,979,54,"t08",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"łódzkie",1002,4.09,43,11,32,1317,20689,4490,1120,3247,123,"t10",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"małopolskie",870,2.55,43,27,16,1134,20665,5229,968,4099,162,"t12",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"mazowieckie",2072,3.82,81,7,74,2991,47714,9800,2287,7225,288,"t14",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"opolskie",536,5.47,19,1,18,511,10728,1491,560,887,44,"t16",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"podkarpackie",790,3.72,33,1,32,681,13105,2514,847,1643,24,"t18",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"podlaskie",490,4.16,25,5,20,600,10236,1472,516,941,15,"t20",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"pomorskie",1268,5.4,30,8,22,1532,24517,4799,1363,3259,177,"t22",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"śląskie",1554,3.45,50,5,45,2258,36206,6865,1653,5008,204,"t24",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"świętokrzyskie",406,3.3,19,1,18,370,7912,1506,440,971,95,"t26",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"warmińsko-mazurskie",1059,7.46,30,0,30,1228,18304,2838,1096,1665,77,"t28",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"wielkopolskie",2076,5.93,25,10,15,2226,38789,5620,2157,3346,117,"t30",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"zachodniopomorskie",916,5.41,22,7,15,1259,18065,2751,960,1695,96,"t32",2020-11-26,"20201127060000_rap_rcb_woj_eksport.csv",2020-11-27,NA
"Cały kraj",15183,3.96,599,85,514,20924,332314,60368,16469,42242,1657,"t00",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"dolnośląskie",1486,5.13,30,1,29,1553,26122,5432,1576,3749,107,"t02",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"kujawsko-pomorskie",1010,4.88,29,3,26,1640,21619,3924,1051,2729,144,"t04",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"lubelskie",940,4.47,37,13,24,1135,18279,3081,1060,1950,71,"t06",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"lubuskie",399,3.95,20,5,15,578,10141,1638,425,1167,46,"t08",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"łódzkie",655,2.67,60,8,52,1289,19955,3670,765,2820,85,"t10",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"małopolskie",660,1.93,42,15,27,1089,19447,4503,798,3610,95,"t12",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"mazowieckie",1994,3.67,60,6,54,3021,46040,10696,2202,8140,354,"t14",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"opolskie",434,4.43,18,0,18,487,10316,1433,467,923,43,"t16",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"podkarpackie",715,3.36,51,14,37,648,12348,2315,740,1552,23,"t18",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"podlaskie",481,4.09,15,0,15,577,9737,1560,510,1018,32,"t20",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"pomorskie",1038,4.42,44,3,41,1540,23851,4037,1147,2734,156,"t22",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"śląskie",1402,3.11,54,1,53,2305,34011,5708,1522,4031,155,"t24",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"świętokrzyskie",308,2.5,16,1,15,402,7292,1296,334,886,76,"t26",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"warmińsko-mazurskie",951,6.69,47,3,44,1147,18048,2641,994,1568,79,"t28",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"wielkopolskie",1756,5.02,60,8,52,2156,37499,5426,1864,3447,115,"t30",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"zachodniopomorskie",907,5.36,16,4,12,1357,17608,2622,958,1591,73,"t32",2020-11-27,"20201128060000_rap_rcb_woj_eksport.csv",2020-11-28,NA
"Cały kraj",11483,2.99,283,46,237,429,316146,37742,12276,24238,1228,"t00",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"dolnośląskie",782,2.7,11,0,11,25,24813,2465,823,1573,69,"t02",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"kujawsko-pomorskie",623,3.01,14,1,13,76,20925,2040,645,1246,149,"t04",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"lubelskie",622,2.96,25,4,21,20,17807,1925,664,1217,44,"t06",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"lubuskie",373,3.69,6,3,3,11,9753,971,399,542,30,"t08",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"łódzkie",839,3.43,37,3,34,32,19093,2768,895,1821,52,"t10",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"małopolskie",450,1.32,9,7,2,5,17711,2781,481,2228,72,"t12",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"mazowieckie",1419,2.61,57,5,52,36,44502,5668,1568,3908,192,"t14",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"opolskie",434,4.43,3,0,3,13,9639,1052,454,563,35,"t16",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"podkarpackie",339,1.59,28,5,23,15,11288,1106,387,702,17,"t18",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"podlaskie",310,2.63,11,1,10,5,9196,881,341,538,2,"t20",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"pomorskie",984,4.19,19,2,17,31,22586,3224,1051,2029,144,"t22",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"śląskie",970,2.15,19,4,15,32,31779,3161,1014,2060,87,"t24",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"świętokrzyskie",271,2.2,10,2,8,4,6950,1092,309,725,58,"t26",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"warmińsko-mazurskie",616,4.34,7,0,7,36,17569,1494,640,796,58,"t28",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"wielkopolskie",1591,4.55,21,6,15,60,35406,4270,1668,2522,80,"t30",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"zachodniopomorskie",784,4.63,6,3,3,28,17125,2483,853,1549,81,"t32",2020-11-28,"20201129060000_rap_rcb_woj_eksport.csv",2020-11-29,NA
"Cały kraj",5734,1.5,121,21,100,319,294775,23174,6441,16016,717,"t00",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"dolnośląskie",446,1.54,5,2,3,37,22727,1607,502,1079,26,"t02",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"kujawsko-pomorskie",294,1.42,4,0,4,65,19828,1395,419,883,93,"t04",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"lubelskie",284,1.35,13,1,12,14,16603,967,317,636,14,"t06",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"lubuskie",265,2.62,0,0,0,17,9161,838,296,519,23,"t08",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"łódzkie",376,1.54,10,7,3,12,17813,1873,416,1406,51,"t10",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"małopolskie",284,0.83,2,0,2,9,15989,2501,350,2068,83,"t12",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"mazowieckie",675,1.24,15,0,15,38,41565,3350,785,2476,89,"t14",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"opolskie",197,2.01,0,0,0,10,8881,574,207,346,21,"t16",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"podkarpackie",207,0.97,7,1,6,5,10664,803,239,552,12,"t18",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"podlaskie",122,1.04,2,0,2,3,8404,404,128,274,2,"t20",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"pomorskie",446,1.9,3,1,2,16,21441,1886,492,1325,69,"t22",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"śląskie",420,0.93,18,4,14,21,29436,1851,459,1328,64,"t24",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"świętokrzyskie",193,1.57,2,1,1,2,6270,671,204,421,46,"t26",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"warmińsko-mazurskie",328,2.31,9,0,9,20,16497,875,339,505,31,"t28",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"wielkopolskie",535,1.53,30,4,26,32,33309,1773,585,1152,36,"t30",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"zachodniopomorskie",603,3.56,1,0,1,18,16183,1594,633,913,48,"t32",2020-11-29,"20201130060000_rap_rcb_woj_eksport.csv",2020-11-30,NA
"Cały kraj",9066,2.36,449,68,381,32929,284156,44535,10522,32918,1095,"t00",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"dolnośląskie",718,2.48,57,8,49,2402,21849,3692,788,2834,70,"t02",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"kujawsko-pomorskie",1211,5.85,40,6,34,2827,19398,4798,1284,3379,135,"t04",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"lubelskie",551,2.62,36,7,29,1779,16005,2332,666,1629,37,"t06",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"lubuskie",189,1.87,4,2,2,977,8862,1093,243,832,18,"t08",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"łódzkie",613,2.5,21,6,15,2078,17236,3770,767,2867,136,"t10",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"małopolskie",494,1.45,67,16,51,1522,15217,3931,658,3221,52,"t12",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"mazowieckie",732,1.35,16,1,15,4384,40035,4964,925,3872,167,"t14",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"opolskie",359,3.66,20,2,18,813,8464,1401,418,943,40,"t16",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"podkarpackie",344,1.62,20,2,18,923,10094,2035,395,1615,25,"t18",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"podlaskie",215,1.83,5,0,5,959,8177,966,236,720,10,"t20",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"pomorskie",449,1.91,57,8,49,2347,20535,2420,545,1786,89,"t22",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"śląskie",1081,2.4,39,4,35,3437,28329,4770,1235,3436,99,"t24",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"świętokrzyskie",266,2.16,6,1,5,560,5998,1234,297,891,46,"t26",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"warmińsko-mazurskie",536,3.77,36,1,35,2120,16208,2045,596,1392,57,"t28",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"wielkopolskie",792,2.26,17,4,13,3655,32286,3196,886,2266,44,"t30",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"zachodniopomorskie",463,2.73,8,0,8,2146,15462,1607,520,1027,60,"t32",2020-11-30,"20201201060000_rap_rcb_woj_eksport.csv",2020-12-01,NA
"Cały kraj",13870,3.62,609,89,520,20365,274769,55056,15171,38468,1417,"t00",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"dolnośląskie",848,2.93,54,8,46,1523,21272,3445,929,2439,77,"t02",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"kujawsko-pomorskie",1240,5.99,32,2,30,1698,19268,4108,1302,2672,134,"t04",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"lubelskie",758,3.6,49,7,42,980,15266,2840,857,1939,44,"t06",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"lubuskie",384,3.8,8,1,7,632,8589,1352,422,900,30,"t08",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"łódzkie",1011,4.13,31,8,23,1349,17083,4266,1109,3015,142,"t10",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"małopolskie",827,2.42,42,15,27,955,14364,4744,957,3702,85,"t12",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"mazowieckie",1644,3.03,71,1,70,2852,39070,8409,1831,6297,281,"t14",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"opolskie",257,2.62,39,2,37,553,8193,883,290,578,15,"t16",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"podkarpackie",515,2.42,31,6,25,531,9476,2132,566,1540,26,"t18",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"podlaskie",389,3.31,5,0,5,512,7639,1382,418,955,9,"t20",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"pomorskie",1069,4.56,46,13,33,1530,19949,3999,1177,2638,184,"t22",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"śląskie",1507,3.34,65,6,59,2124,27154,5839,1625,4101,113,"t24",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"świętokrzyskie",275,2.24,25,3,22,359,5986,1561,323,1183,55,"t26",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"warmińsko-mazurskie",783,5.51,31,0,31,1337,15444,2298,828,1419,51,"t28",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"wielkopolskie",1579,4.51,56,17,39,2167,31060,4637,1676,2869,92,"t30",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"zachodniopomorskie",754,4.45,24,0,24,1263,14955,2622,818,1743,61,"t32",2020-12-01,"20201202060000_rap_rcb_woj_eksport.csv",2020-12-02,NA
"Cały kraj",14838,3.87,620,109,511,18901,282408,64452,15979,46709,1764,"t00",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"dolnośląskie",845,2.92,41,4,37,1283,21305,3498,916,2463,119,"t02",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"kujawsko-pomorskie",1352,6.53,27,2,25,1556,20222,11899,1443,10272,184,"t04",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"lubelskie",794,3.77,44,6,38,944,15672,2851,894,1879,78,"t06",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"lubuskie",359,3.55,12,4,8,558,8775,1410,398,962,50,"t08",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"łódzkie",892,3.64,41,6,35,1208,17510,3646,987,2552,107,"t10",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"małopolskie",645,1.89,50,27,23,885,14401,4591,786,3716,89,"t12",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"mazowieckie",1794,3.31,75,6,69,2903,40228,7767,1931,5528,308,"t14",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"opolskie",467,4.76,27,5,22,470,8356,1440,514,892,34,"t16",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"podkarpackie",415,1.95,29,9,20,481,9569,1873,442,1410,21,"t18",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"podlaskie",356,3.03,26,0,26,514,7863,1187,377,788,22,"t20",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"pomorskie",1237,5.27,25,11,14,1418,20622,4621,1296,3144,181,"t22",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
"śląskie",1529,3.39,71,7,64,1921,27641,5921,1648,4114,159,"t24",2020-12-02,"20201203060000_rap_rcb_woj_eksport.csv",2020-12-03,NA
